queue_category,priority,source_type,authority_family,source_file,source_sha256,source_path,chunk_id,authority_unit_id,authority_version_id,citation,normalized_citation,title,rule_number,section,policy_number,policy_chapter,document_type,display_status,answer_scope,version_status,effective_label,valid_from,valid_to,requires_qa_signoff,warning_category,proposed_action,reviewer_role,production_impact,stop_condition,notes
unresolved_identity_unit,High,dcs_policy,dcs_policies_procedures,197_Memo_Exigent_Circumstances_Memo.pdf,7d9c623d63c9188eed2daee3111363a205a8140b15191bbdd2ec9d5354f19506,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch14_CPS/197_Memo_Exigent_Circumstances_Memo.pdf,,6b571c85-2201-5e97-afa9-5886c963d1b5,3007324f-c9ed-5b49-8d82-90c9a2ec4272,Document header (application/authority/dates),documentheaderapplicationauthoritydates,Memo Exigent Circumstances Memo,,Document header (application/authority/dates),,Ch14_CPS,unknown,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,authority unit unresolved; high_risk=juvenile-court procedure,Needs further review,Corpus administrator,Blocks production eligibility and display for affected unit,Cannot identify reliable authority unit from metadata alone,chunk_count=1; chunk_types=metadata:1
unresolved_identity_unit,High,dcs_policy,dcs_policies_procedures,197_Memo_Exigent_Circumstances_Memo.pdf,7d9c623d63c9188eed2daee3111363a205a8140b15191bbdd2ec9d5354f19506,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch14_CPS/197_Memo_Exigent_Circumstances_Memo.pdf,,ca4ac663-0eed-58e7-a5ae-8a1b7fc08326,8df805b5-d8ef-5491-8bca-7bab0337e28b,,,Memo Exigent Circumstances Memo,,,,Ch14_CPS,unknown,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,authority unit unresolved; high_risk=juvenile-court procedure,Needs further review,Corpus administrator,Blocks production eligibility and display for affected unit,Cannot identify reliable authority unit from metadata alone,chunk_count=1; chunk_types=unknown:1
unresolved_identity_unit,High,dcs_policy,dcs_policies_procedures,280_Attachment_NOA-GRIER_FAQ.pdf,7bbf914ff556acff2c25f672fd1e6c6231f869508c63c42b0dfb0f8545427b95,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch16A_Foster_Care/280_Attachment_NOA-GRIER_FAQ.pdf,,4491722a-eeb3-5df4-8a8a-da5d3dc0de62,cbb25ed2-72fb-502a-9be9-635694a410d1,Document header (application/authority/dates),documentheaderapplicationauthoritydates,Attachment NOA GRIER FAQ,,Document header (application/authority/dates),,Ch16A_Foster_Care,unknown,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,authority unit unresolved; high_risk=juvenile-court procedure,Needs further review,Corpus administrator,Blocks production eligibility and display for affected unit,Cannot identify reliable authority unit from metadata alone,chunk_count=1; chunk_types=metadata:1
unresolved_identity_unit,High,dcs_policy,dcs_policies_procedures,280_Attachment_NOA-GRIER_FAQ.pdf,7bbf914ff556acff2c25f672fd1e6c6231f869508c63c42b0dfb0f8545427b95,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch16A_Foster_Care/280_Attachment_NOA-GRIER_FAQ.pdf,,3bcfb5bb-17b5-5897-bd6d-e8092e250e41,fee4aacd-4f88-50f3-8ddd-b4a9499e3464,,,Attachment NOA GRIER FAQ,,,,Ch16A_Foster_Care,unknown,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,authority unit unresolved; high_risk=juvenile-court procedure,Needs further review,Corpus administrator,Blocks production eligibility and display for affected unit,Cannot identify reliable authority unit from metadata alone,chunk_count=1; chunk_types=unknown:1
unresolved_identity_unit,High,dcs_policy,dcs_policies_procedures,335_Attachment_Guidelines_for_Life_Story_Books.pdf,39fe02191840f22393186e40b8de085fe0dd8491e1c410045785fd1346307580,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch16B_Foster_Homes/335_Attachment_Guidelines_for_Life_Story_Books.pdf,,9596ae61-207d-5d7e-8e3c-eaa21bb2917c,dddbf6f5-f648-5cd5-a011-8b4d4b6b6ae3,Document header (application/authority/dates),documentheaderapplicationauthoritydates,Attachment Guidelines for Life Story Books,,Document header (application/authority/dates),,Ch16B_Foster_Homes,unknown,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,authority unit unresolved; high_risk=juvenile-court procedure,Needs further review,Corpus administrator,Blocks production eligibility and display for affected unit,Cannot identify reliable authority unit from metadata alone,chunk_count=1; chunk_types=metadata:1
unresolved_identity_unit,High,dcs_policy,dcs_policies_procedures,335_Attachment_Guidelines_for_Life_Story_Books.pdf,39fe02191840f22393186e40b8de085fe0dd8491e1c410045785fd1346307580,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch16B_Foster_Homes/335_Attachment_Guidelines_for_Life_Story_Books.pdf,,f4fc9b81-3404-57dc-a204-b646b2efdcde,1f3b379c-0bec-55e8-970a-abafc8bdfe2b,Purpose:,purpose,Attachment Guidelines for Life Story Books,,Purpose:,,Ch16B_Foster_Homes,unknown,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,authority unit unresolved; high_risk=juvenile-court procedure,Needs further review,Corpus administrator,Blocks production eligibility and display for affected unit,Cannot identify reliable authority unit from metadata alone,chunk_count=1; chunk_types=unknown:1
unresolved_identity_unit,High,dcs_policy,dcs_policies_procedures,336_Attachment_Guidelines_for_Foster_Care_Associations.pdf,6d2f8b8bf3dc41aeb1c81c3bbfa67e2a677aa4199de7cf9bfdfe45aa36657645,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch16B_Foster_Homes/336_Attachment_Guidelines_for_Foster_Care_Associations.pdf,,7ae59268-f195-5caa-99ff-8e2dde1618aa,58fd31ca-6b57-5204-bc04-48ebb83551ac,Document header (application/authority/dates),documentheaderapplicationauthoritydates,Attachment Guidelines for Foster Care Associations,,Document header (application/authority/dates),,Ch16B_Foster_Homes,unknown,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,authority unit unresolved; high_risk=juvenile-court procedure,Needs further review,Corpus administrator,Blocks production eligibility and display for affected unit,Cannot identify reliable authority unit from metadata alone,chunk_count=1; chunk_types=metadata:1
unresolved_identity_unit,High,dcs_policy,dcs_policies_procedures,336_Attachment_Guidelines_for_Foster_Care_Associations.pdf,6d2f8b8bf3dc41aeb1c81c3bbfa67e2a677aa4199de7cf9bfdfe45aa36657645,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch16B_Foster_Homes/336_Attachment_Guidelines_for_Foster_Care_Associations.pdf,,9e178fc4-3991-56ac-b783-d14d3865558b,7eead509-4be6-542c-8b00-fd404f506766,,,Attachment Guidelines for Foster Care Associations,,,,Ch16B_Foster_Homes,unknown,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,authority unit unresolved; high_risk=juvenile-court procedure,Needs further review,Corpus administrator,Blocks production eligibility and display for affected unit,Cannot identify reliable authority unit from metadata alone,chunk_count=1; chunk_types=unknown:1
unresolved_identity_unit,High,dcs_policy,dcs_policies_procedures,594_Policy_Protocol_for_Search_Procedures.pdf,c31b4b1e5dc86dd583caac7073b090b146d59b4905f5ff3f7a74ca5d9bc8c2e0,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch31_Field_Services/594_Policy_Protocol_for_Search_Procedures.pdf,,1fa54048-99f6-5376-9380-3c27c2248934,6eeb104d-fe67-50c8-8d93-25a43ea7c65d,Document header (application/authority/dates),documentheaderapplicationauthoritydates,Policy Protocol for Search Procedures,,Document header (application/authority/dates),,Ch31_Field_Services,unknown,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,authority unit unresolved; high_risk=juvenile-court procedure,Needs further review,Corpus administrator,Blocks production eligibility and display for affected unit,Cannot identify reliable authority unit from metadata alone,chunk_count=1; chunk_types=metadata:1
unresolved_identity_unit,High,dcs_policy,dcs_policies_procedures,594_Policy_Protocol_for_Search_Procedures.pdf,c31b4b1e5dc86dd583caac7073b090b146d59b4905f5ff3f7a74ca5d9bc8c2e0,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch31_Field_Services/594_Policy_Protocol_for_Search_Procedures.pdf,,568e7cba-310a-5279-8d83-16534752e0ee,330a68d0-68b5-532c-b461-9dc0d51601d1,,,Policy Protocol for Search Procedures,,,,Ch31_Field_Services,unknown,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,authority unit unresolved; warnings=unusually_large_chunk; high_risk=juvenile-court procedure,Needs further review,Corpus administrator,Blocks production eligibility and display for affected unit,Cannot identify reliable authority unit from metadata alone,chunk_count=5; chunk_types=unknown:5
