artifact_type,source_queue,queue_category,priority,source_type,authority_family,source_file,source_sha256,source_path,chunk_id,authority_unit_id,authority_version_id,citation,normalized_citation,title,rule_number,section,policy_number,policy_chapter,document_type,display_status,answer_scope,version_status,effective_label,valid_from,valid_to,requires_qa_signoff,warning_category,current_value,proposed_value,proposed_action,decision_status,reviewer_role,reviewer_name,review_date,owner_escalation_required,production_impact,stop_condition,notes
pending_extraction_qa_decision_register,pending_extraction_qa_summary.csv,pending_extraction_qa,Medium,dcs_policy,dcs_policies_procedures,612_Manual_Child_and_Adolescent_Needs_and_Strengths_CANS_Manual_2.0.pdf,597751800191788046426bc66b52abb9b9d29a0a706f20af65d3e9a07d48f98b,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch31_Field_Services/612_Manual_Child_and_Adolescent_Needs_and_Strengths_CANS_Manual_2.0.pdf,bb-exp-b344c403551f2953ecb0610f,fa2505bc-d250-5bdf-801a-95531b418415,3f6e8ad5-4b29-5b88-9593-cf961020ff2a,1 Mild problems in the youth's environment that might expose them to criminal,1mildproblemsintheyouthsenvironmentthatmightexposethemtocriminal,Manual Child and Adolescent Needs and Strengths CANS Manual 2.0,,1 Mild problems in the youth's environment that might expose them to criminal,,Ch31_Field_Services,manual,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,needs source verification; high_risk=juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_non_displayable_pending_extraction_qa,verify_extraction_before_any_display,pending_extraction_qa,Corpus administrator,,,false,non_displayable,Extraction confidence remains pending,priority_bucket=needs source verification; E14-B candidate only from pending_extraction_qa_summary.csv; no corpus change applied
pending_extraction_qa_decision_register,pending_extraction_qa_summary.csv,pending_extraction_qa,Medium,dcs_policy,dcs_policies_procedures,612_Manual_Child_and_Adolescent_Needs_and_Strengths_CANS_Manual_2.0.pdf,597751800191788046426bc66b52abb9b9d29a0a706f20af65d3e9a07d48f98b,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch31_Field_Services/612_Manual_Child_and_Adolescent_Needs_and_Strengths_CANS_Manual_2.0.pdf,bb-exp-037c0fbcb1b3f7e18fdfbc04,fa2505bc-d250-5bdf-801a-95531b418415,3f6e8ad5-4b29-5b88-9593-cf961020ff2a,2 Moderate problems in the youth's environment that clearly expose them to criminal,2moderateproblemsintheyouthsenvironmentthatclearlyexposethemtocriminal,Manual Child and Adolescent Needs and Strengths CANS Manual 2.0,,2 Moderate problems in the youth's environment that clearly expose them to criminal,,Ch31_Field_Services,manual,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,needs source verification; high_risk=juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_non_displayable_pending_extraction_qa,verify_extraction_before_any_display,pending_extraction_qa,Corpus administrator,,,false,non_displayable,Extraction confidence remains pending,priority_bucket=needs source verification; E14-B candidate only from pending_extraction_qa_summary.csv; no corpus change applied
pending_extraction_qa_decision_register,pending_extraction_qa_summary.csv,pending_extraction_qa,Medium,dcs_policy,dcs_policies_procedures,612_Manual_Child_and_Adolescent_Needs_and_Strengths_CANS_Manual_2.0.pdf,597751800191788046426bc66b52abb9b9d29a0a706f20af65d3e9a07d48f98b,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch31_Field_Services/612_Manual_Child_and_Adolescent_Needs_and_Strengths_CANS_Manual_2.0.pdf,bb-exp-13004c365564d84f03c32aa8,fa2505bc-d250-5bdf-801a-95531b418415,3f6e8ad5-4b29-5b88-9593-cf961020ff2a,3 Severe problems in the youth's environment that stimulate them to engage in,3severeproblemsintheyouthsenvironmentthatstimulatethemtoengagein,Manual Child and Adolescent Needs and Strengths CANS Manual 2.0,,3 Severe problems in the youth's environment that stimulate them to engage in,,Ch31_Field_Services,manual,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,needs source verification; high_risk=juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_non_displayable_pending_extraction_qa,verify_extraction_before_any_display,pending_extraction_qa,Corpus administrator,,,false,non_displayable,Extraction confidence remains pending,priority_bucket=needs source verification; E14-B candidate only from pending_extraction_qa_summary.csv; no corpus change applied
pending_extraction_qa_decision_register,pending_extraction_qa_summary.csv,pending_extraction_qa,Medium,dcs_policy,dcs_policies_procedures,612_Manual_Child_and_Adolescent_Needs_and_Strengths_CANS_Manual_2.0.pdf,597751800191788046426bc66b52abb9b9d29a0a706f20af65d3e9a07d48f98b,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch31_Field_Services/612_Manual_Child_and_Adolescent_Needs_and_Strengths_CANS_Manual_2.0.pdf,bb-exp-f1ad86294d88447e471c629e,fa2505bc-d250-5bdf-801a-95531b418415,3f6e8ad5-4b29-5b88-9593-cf961020ff2a,1 At least one of the youth's siblings have been in custody/incarcerated or on,1atleastoneoftheyouthssiblingshavebeenincustodyincarceratedoron,Manual Child and Adolescent Needs and Strengths CANS Manual 2.0,,1 At least one of the youth's siblings have been in custody/incarcerated or on,,Ch31_Field_Services,manual,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,needs source verification; high_risk=custody|juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_non_displayable_pending_extraction_qa,verify_extraction_before_any_display,pending_extraction_qa,Corpus administrator,,,false,non_displayable,Extraction confidence remains pending,priority_bucket=needs source verification; E14-B candidate only from pending_extraction_qa_summary.csv; no corpus change applied
pending_extraction_qa_decision_register,pending_extraction_qa_summary.csv,pending_extraction_qa,Medium,dcs_policy,dcs_policies_procedures,612_Manual_Child_and_Adolescent_Needs_and_Strengths_CANS_Manual_2.0.pdf,597751800191788046426bc66b52abb9b9d29a0a706f20af65d3e9a07d48f98b,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch31_Field_Services/612_Manual_Child_and_Adolescent_Needs_and_Strengths_CANS_Manual_2.0.pdf,bb-exp-297cb9270b04493f2cfe6aa2,fa2505bc-d250-5bdf-801a-95531b418415,3f6e8ad5-4b29-5b88-9593-cf961020ff2a,"1 Identified need requires monitoring, watchful waiting, or preventive activities.",1identifiedneedrequiresmonitoringwatchfulwaitingorpreventiveactivities,Manual Child and Adolescent Needs and Strengths CANS Manual 2.0,,"1 Identified need requires monitoring, watchful waiting, or preventive activities.",,Ch31_Field_Services,manual,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,needs source verification; high_risk=juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_non_displayable_pending_extraction_qa,verify_extraction_before_any_display,pending_extraction_qa,Corpus administrator,,,false,non_displayable,Extraction confidence remains pending,priority_bucket=needs source verification; E14-B candidate only from pending_extraction_qa_summary.csv; no corpus change applied
pending_extraction_qa_decision_register,pending_extraction_qa_summary.csv,pending_extraction_qa,Medium,dcs_policy,dcs_policies_procedures,612_Manual_Child_and_Adolescent_Needs_and_Strengths_CANS_Manual_2.0.pdf,597751800191788046426bc66b52abb9b9d29a0a706f20af65d3e9a07d48f98b,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch31_Field_Services/612_Manual_Child_and_Adolescent_Needs_and_Strengths_CANS_Manual_2.0.pdf,bb-exp-e66c7eee6181c663f40c7fa7,fa2505bc-d250-5bdf-801a-95531b418415,3f6e8ad5-4b29-5b88-9593-cf961020ff2a,3 Problems are dangerous or disabling; requires immediate and/or intensive action.,3problemsaredangerousordisablingrequiresimmediateandorintensiveaction,Manual Child and Adolescent Needs and Strengths CANS Manual 2.0,,3 Problems are dangerous or disabling; requires immediate and/or intensive action.,,Ch31_Field_Services,manual,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,needs source verification; high_risk=juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_non_displayable_pending_extraction_qa,verify_extraction_before_any_display,pending_extraction_qa,Corpus administrator,,,false,non_displayable,Extraction confidence remains pending,priority_bucket=needs source verification; E14-B candidate only from pending_extraction_qa_summary.csv; no corpus change applied
pending_extraction_qa_decision_register,pending_extraction_qa_summary.csv,pending_extraction_qa,Medium,dcs_policy,dcs_policies_procedures,612_Manual_Child_and_Adolescent_Needs_and_Strengths_CANS_Manual_2.0.pdf,597751800191788046426bc66b52abb9b9d29a0a706f20af65d3e9a07d48f98b,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch31_Field_Services/612_Manual_Child_and_Adolescent_Needs_and_Strengths_CANS_Manual_2.0.pdf,bb-exp-d4b046c0c9ba4654d46bb0f2,fa2505bc-d250-5bdf-801a-95531b418415,3f6e8ad5-4b29-5b88-9593-cf961020ff2a,"3 Youth has experienced periods of homelessness in the past six months.  Also,",3youthhasexperiencedperiodsofhomelessnessinthepastsixmonthsalso,Manual Child and Adolescent Needs and Strengths CANS Manual 2.0,,"3 Youth has experienced periods of homelessness in the past six months.  Also,",,Ch31_Field_Services,manual,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,needs source verification; high_risk=juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_non_displayable_pending_extraction_qa,verify_extraction_before_any_display,pending_extraction_qa,Corpus administrator,,,false,non_displayable,Extraction confidence remains pending,priority_bucket=needs source verification; E14-B candidate only from pending_extraction_qa_summary.csv; no corpus change applied
pending_extraction_qa_decision_register,pending_extraction_qa_summary.csv,pending_extraction_qa,Medium,dcs_policy,dcs_policies_procedures,612_Manual_Child_and_Adolescent_Needs_and_Strengths_CANS_Manual_2.0.pdf,597751800191788046426bc66b52abb9b9d29a0a706f20af65d3e9a07d48f98b,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch31_Field_Services/612_Manual_Child_and_Adolescent_Needs_and_Strengths_CANS_Manual_2.0.pdf,bb-exp-527f90fed0ba848280ace9bd,fa2505bc-d250-5bdf-801a-95531b418415,3f6e8ad5-4b29-5b88-9593-cf961020ff2a,1 The youth has occasional transportation needs (e.g. appointments).  These needs,1theyouthhasoccasionaltransportationneedsegappointmentstheseneeds,Manual Child and Adolescent Needs and Strengths CANS Manual 2.0,,1 The youth has occasional transportation needs (e.g. appointments).  These needs,,Ch31_Field_Services,manual,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,needs source verification; high_risk=juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_non_displayable_pending_extraction_qa,verify_extraction_before_any_display,pending_extraction_qa,Corpus administrator,,,false,non_displayable,Extraction confidence remains pending,priority_bucket=needs source verification; E14-B candidate only from pending_extraction_qa_summary.csv; no corpus change applied
pending_extraction_qa_decision_register,pending_extraction_qa_summary.csv,pending_extraction_qa,Medium,dcs_policy,dcs_policies_procedures,612_Manual_Child_and_Adolescent_Needs_and_Strengths_CANS_Manual_2.0.pdf,597751800191788046426bc66b52abb9b9d29a0a706f20af65d3e9a07d48f98b,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch31_Field_Services/612_Manual_Child_and_Adolescent_Needs_and_Strengths_CANS_Manual_2.0.pdf,bb-exp-1121e76b7770c2a0ff058818,fa2505bc-d250-5bdf-801a-95531b418415,3f6e8ad5-4b29-5b88-9593-cf961020ff2a,2 The youth has occasional transportation needs that require a special vehicle or,2theyouthhasoccasionaltransportationneedsthatrequireaspecialvehicleor,Manual Child and Adolescent Needs and Strengths CANS Manual 2.0,,2 The youth has occasional transportation needs that require a special vehicle or,,Ch31_Field_Services,manual,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,needs source verification; high_risk=juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_non_displayable_pending_extraction_qa,verify_extraction_before_any_display,pending_extraction_qa,Corpus administrator,,,false,non_displayable,Extraction confidence remains pending,priority_bucket=needs source verification; E14-B candidate only from pending_extraction_qa_summary.csv; no corpus change applied
pending_extraction_qa_decision_register,pending_extraction_qa_summary.csv,pending_extraction_qa,Medium,dcs_policy,dcs_policies_procedures,612_Manual_Child_and_Adolescent_Needs_and_Strengths_CANS_Manual_2.0.pdf,597751800191788046426bc66b52abb9b9d29a0a706f20af65d3e9a07d48f98b,Benchbook.ai Database Files/DCS P&P/TN_DCS_Policies/Ch31_Field_Services/612_Manual_Child_and_Adolescent_Needs_and_Strengths_CANS_Manual_2.0.pdf,bb-exp-8421657c7ab3b975971e4c0e,fa2505bc-d250-5bdf-801a-95531b418415,3f6e8ad5-4b29-5b88-9593-cf961020ff2a,1 The youth has responsibilities as a parent/caregiver and occasionally experiences,1theyouthhasresponsibilitiesasaparentcaregiverandoccasionallyexperiences,Manual Child and Adolescent Needs and Strengths CANS Manual 2.0,,1 The youth has responsibilities as a parent/caregiver and occasionally experiences,,Ch31_Field_Services,manual,pending_extraction_qa,guardrail_reference_only,current,,1900-01-01,,false,needs source verification; high_risk=juvenile-court procedure,display_status=pending_extraction_qa; answer_scope=guardrail_reference_only; version_status=current,keep_non_displayable_pending_extraction_qa,verify_extraction_before_any_display,pending_extraction_qa,Corpus administrator,,,false,non_displayable,Extraction confidence remains pending,priority_bucket=needs source verification; E14-B candidate only from pending_extraction_qa_summary.csv; no corpus change applied
